latin	shavian	part of speech	pronunciation	frequency
resplendency	𐑮𐑦𐑕𐑐𐑤𐑧𐑯𐑛𐑩𐑯𐑕𐑦			
resplendent	𐑮𐑦𐑕𐑐𐑤𐑧𐑯𐑛𐑩𐑯𐑑			
resplendently	𐑮𐑦𐑕𐑐𐑤𐑧𐑯𐑛𐑩𐑯𐑑𐑤𐑦			
respondent	𐑮𐑦𐑕𐑐𐑪𐑯𐑛𐑩𐑯𐑑			
respondents	𐑮𐑦𐑕𐑐𐑪𐑯𐑛𐑩𐑯𐑑𐑕			
responsiveness	𐑮𐑦𐑕𐑐𐑪𐑯𐑕𐑦𐑝𐑯𐑩𐑕			
restarted	𐑮𐑰𐑕𐑑𐑸𐑑𐑩𐑛			
restarting	𐑮𐑰𐑕𐑑𐑸𐑑𐑦𐑙			
restarts	𐑮𐑰𐑕𐑑𐑸𐑑𐑕			
restate	𐑮𐑰𐑕𐑑𐑱𐑑			
restated	𐑮𐑰𐑕𐑑𐑱𐑑𐑩𐑛			
restatement	𐑮𐑰𐑕𐑑𐑱𐑑𐑥𐑩𐑯𐑑			
restatements	𐑮𐑰𐑕𐑑𐑱𐑑𐑥𐑩𐑯𐑑𐑕			
restates	𐑮𐑰𐑕𐑑𐑱𐑑𐑕			
restating	𐑮𐑰𐑕𐑑𐑱𐑑𐑦𐑙			
restauranteur	𐑮𐑧𐑕𐑑𐑼𐑪𐑯𐑑𐑻			
restauranteurs	𐑮𐑧𐑕𐑑𐑼𐑪𐑯𐑑𐑻𐑟			
restaurateurs	𐑮𐑧𐑕𐑑𐑼𐑩𐑑𐑻𐑟			
restfully	𐑮𐑧𐑕𐑑𐑓𐑩𐑤𐑦			
restfulness	𐑮𐑧𐑕𐑑𐑓𐑩𐑤𐑯𐑩𐑕			
restive	𐑮𐑧𐑕𐑑𐑦𐑝			
restively	𐑮𐑧𐑕𐑑𐑦𐑝𐑤𐑦			
restiveness	𐑮𐑧𐑕𐑑𐑦𐑝𐑯𐑩𐑕			
restlessly	𐑮𐑧𐑕𐑑𐑤𐑩𐑕𐑤𐑦			
restlessness	𐑮𐑧𐑕𐑑𐑤𐑩𐑕𐑯𐑩𐑕			
restocked	𐑮𐑰𐑕𐑑𐑪𐑒𐑑			
restocking	𐑮𐑰𐑕𐑑𐑪𐑒𐑦𐑙			
restocks	𐑮𐑰𐑕𐑑𐑪𐑒𐑕			
restoratives	𐑮𐑦𐑕𐑑𐑹𐑩𐑑𐑦𐑝𐑟			
restorer	𐑮𐑦𐑕𐑑𐑹𐑼			
restorers	𐑮𐑦𐑕𐑑𐑹𐑼𐑟			
restrains	𐑮𐑦𐑕𐑑𐑮𐑱𐑯𐑟			
restrictive	𐑮𐑦𐑕𐑑𐑮𐑦𐑒𐑑𐑦𐑝			
restrictively	𐑮𐑦𐑕𐑑𐑮𐑦𐑒𐑑𐑦𐑝𐑤𐑦			
restrictiveness	𐑮𐑦𐑕𐑑𐑮𐑦𐑒𐑑𐑦𐑝𐑯𐑩𐑕			
restricts	𐑮𐑦𐑕𐑑𐑮𐑦𐑒𐑑𐑕			
restructure	𐑮𐑰𐑕𐑑𐑮𐑳𐑒𐑗𐑼			
restructured	𐑮𐑰𐑕𐑑𐑮𐑳𐑒𐑗𐑼𐑛			
restructures	𐑮𐑰𐑕𐑑𐑮𐑳𐑒𐑗𐑼𐑟			
resultant	𐑮𐑦𐑕𐑳𐑤𐑑𐑩𐑯𐑑			
resumption	𐑮𐑦𐑟𐑳𐑥𐑐𐑖𐑩𐑯			
resumptions	𐑮𐑦𐑟𐑳𐑥𐑐𐑖𐑩𐑯𐑟			
resurfaces	𐑮𐑰𐑕𐑻𐑓𐑦𐑕𐑩𐑟			
resurfacing	𐑮𐑰𐑕𐑻𐑓𐑦𐑕𐑦𐑙			
resurgence	𐑮𐑦𐑕𐑻𐑡𐑩𐑯𐑕			
resurgences	𐑮𐑦𐑕𐑻𐑡𐑩𐑯𐑕𐑩𐑟			
resurgent	𐑮𐑦𐑕𐑻𐑡𐑩𐑯𐑑			
resurrecting	𐑮𐑧𐑟𐑼𐑧𐑒𐑑𐑦𐑙			
resurrects	𐑮𐑧𐑟𐑼𐑧𐑒𐑑𐑕			
resuscitates	𐑮𐑦𐑕𐑳𐑕𐑦𐑑𐑱𐑑𐑕			
resuscitating	𐑮𐑦𐑕𐑳𐑕𐑦𐑑𐑱𐑑𐑦𐑙			
resuscitation	𐑮𐑦𐑕𐑳𐑕𐑦𐑑𐑱𐑖𐑩𐑯			
resuscitations	𐑮𐑦𐑕𐑳𐑕𐑦𐑑𐑱𐑖𐑩𐑯𐑟			
retailed	𐑮𐑰𐑑𐑱𐑤𐑛			
retailer	𐑮𐑰𐑑𐑱𐑤𐑼			
retailing	𐑮𐑰𐑑𐑱𐑤𐑦𐑙			
retails	𐑮𐑰𐑑𐑱𐑤𐑟			
retainers	𐑮𐑦𐑑𐑱𐑯𐑼𐑟			
retains	𐑮𐑦𐑑𐑱𐑯𐑟			
retaken	𐑮𐑰𐑑𐑱𐑒𐑩𐑯			
retakes	𐑮𐑰𐑑𐑱𐑒𐑕			
retaking	𐑮𐑰𐑑𐑱𐑒𐑦𐑙			
retaliates	𐑮𐑦𐑑𐑨𐑤𐑦𐑱𐑑𐑕			
retaliative	𐑮𐑦𐑑𐑨𐑤𐑾𐑑𐑦𐑝			
retardation	𐑮𐑰𐑑𐑸𐑛𐑱𐑖𐑩𐑯			
retardations	𐑮𐑰𐑑𐑸𐑛𐑱𐑖𐑩𐑯𐑟			
retarding	𐑮𐑦𐑑𐑸𐑛𐑦𐑙			
retch	𐑮𐑧𐑗			
retched	𐑮𐑧𐑗𐑑			
retches	𐑮𐑧𐑗𐑩𐑟			
retching	𐑮𐑧𐑗𐑦𐑙			
retd	𐑮𐑦𐑑𐑛			
retell	𐑮𐑰𐑑𐑧𐑤			
retelling	𐑮𐑰𐑑𐑧𐑤𐑦𐑙			
retells	𐑮𐑰𐑑𐑧𐑤𐑟			
retention	𐑮𐑦𐑑𐑧𐑯𐑖𐑩𐑯			
retentively	𐑮𐑦𐑑𐑧𐑯𐑑𐑦𐑝𐑤𐑦			
retentiveness	𐑮𐑦𐑑𐑧𐑯𐑑𐑦𐑝𐑯𐑩𐑕			
retford	𐑮𐑧𐑑𐑓𐑼𐑛			
rethinks	𐑮𐑰𐑔𐑦𐑙𐑒𐑕			
retiarius	𐑮𐑧𐑑𐑦𐑸𐑾𐑕			
reticence	𐑮𐑧𐑑𐑦𐑕𐑩𐑯𐑕			
reticences	𐑮𐑧𐑑𐑦𐑕𐑩𐑯𐑕𐑩𐑟			
reticent	𐑮𐑧𐑑𐑦𐑕𐑩𐑯𐑑			
reticently	𐑮𐑧𐑑𐑦𐑕𐑩𐑯𐑑𐑤𐑦			
reticulated	𐑮𐑦𐑑𐑦𐑒𐑿𐑤𐑱𐑑𐑩𐑛			
reticulates	𐑮𐑦𐑑𐑦𐑒𐑿𐑤𐑱𐑑𐑕			
reticulating	𐑮𐑦𐑑𐑦𐑒𐑿𐑤𐑱𐑑𐑦𐑙			
reticulation	𐑮𐑦𐑑𐑦𐑒𐑿𐑤𐑱𐑖𐑩𐑯			
reticulations	𐑮𐑦𐑑𐑦𐑒𐑿𐑤𐑱𐑖𐑩𐑯𐑟			
reticule	𐑮𐑧𐑑𐑦𐑒𐑿𐑤			
reticules	𐑮𐑧𐑑𐑦𐑒𐑿𐑤𐑟			
retinae	𐑮𐑧𐑑𐑦𐑯𐑦			
retinue	𐑮𐑧𐑑𐑦𐑯𐑵			
retinues	𐑮𐑧𐑑𐑦𐑯𐑵𐑟			
retiree	𐑮𐑦𐑑𐑲𐑮𐑰			
retirees	𐑮𐑦𐑑𐑲𐑮𐑰𐑟			
retirements	𐑮𐑦𐑑𐑲𐑼𐑥𐑩𐑯𐑑𐑕			
retold	𐑮𐑰𐑑𐑴𐑤𐑛			
retook	𐑮𐑰𐑑𐑫𐑒			
retool	𐑮𐑰𐑑𐑵𐑤			
retooled	𐑮𐑰𐑑𐑵𐑤𐑛			
retooling	𐑮𐑰𐑑𐑵𐑤𐑦𐑙			
retools	𐑮𐑰𐑑𐑵𐑤𐑟			
retorted	𐑮𐑦𐑑𐑹𐑑𐑩𐑛			
retorting	𐑮𐑦𐑑𐑹𐑑𐑦𐑙			
retorts	𐑮𐑦𐑑𐑹𐑑𐑕			
retouch	𐑮𐑰𐑑𐑳𐑗			
retouched	𐑮𐑰𐑑𐑳𐑗𐑑			
retouches	𐑮𐑰𐑑𐑳𐑗𐑩𐑟			
retouching	𐑮𐑰𐑑𐑳𐑗𐑦𐑙			
retraced	𐑮𐑰𐑑𐑮𐑱𐑕𐑑			
retraces	𐑮𐑰𐑑𐑮𐑱𐑕𐑩𐑟			
retracing	𐑮𐑰𐑑𐑮𐑱𐑕𐑦𐑙			
retracted	𐑮𐑦𐑑𐑮𐑨𐑒𐑑𐑩𐑛			
retractile	𐑮𐑦𐑑𐑮𐑨𐑒𐑑𐑲𐑤			
retracting	𐑮𐑦𐑑𐑮𐑨𐑒𐑑𐑦𐑙			
retractions	𐑮𐑦𐑑𐑮𐑨𐑒𐑖𐑩𐑯𐑟			
retracts	𐑮𐑦𐑑𐑮𐑨𐑒𐑑𐑕			
retranscription	𐑮𐑰𐑑𐑮𐑨𐑯𐑕𐑒𐑮𐑦𐑐𐑖𐑩𐑯			
retransmit	𐑮𐑰𐑑𐑮𐑨𐑯𐑟𐑥𐑦𐑑			
retransmits	𐑮𐑰𐑑𐑮𐑨𐑯𐑟𐑥𐑦𐑑𐑕			
retransmitted	𐑮𐑰𐑑𐑮𐑨𐑯𐑟𐑥𐑦𐑑𐑩𐑛			
retransmitting	𐑮𐑰𐑑𐑮𐑨𐑯𐑟𐑥𐑦𐑑𐑦𐑙			
retread	𐑮𐑰𐑑𐑮𐑧𐑛			
retreaded	𐑮𐑰𐑑𐑮𐑧𐑛𐑩𐑛			
retreading	𐑮𐑰𐑑𐑮𐑧𐑛𐑦𐑙			
retreads	𐑮𐑰𐑑𐑮𐑧𐑛𐑟			
retrench	𐑮𐑦𐑑𐑮𐑧𐑯𐑗			
retrenched	𐑮𐑦𐑑𐑮𐑧𐑯𐑗𐑑			
retrenches	𐑮𐑦𐑑𐑮𐑧𐑯𐑗𐑩𐑟			
retrenching	𐑮𐑦𐑑𐑮𐑧𐑯𐑗𐑦𐑙			
retrenchment	𐑮𐑦𐑑𐑮𐑧𐑯𐑗𐑥𐑩𐑯𐑑			
retrenchments	𐑮𐑦𐑑𐑮𐑧𐑯𐑗𐑥𐑩𐑯𐑑𐑕			
retrials	𐑮𐑰𐑑𐑮𐑲𐑩𐑤𐑟			
retributive	𐑮𐑦𐑑𐑮𐑦𐑚𐑿𐑑𐑦𐑝			
retrievable	𐑮𐑦𐑑𐑮𐑰𐑝𐑩𐑚𐑩𐑤			
retrievers	𐑮𐑦𐑑𐑮𐑰𐑝𐑼𐑟			
retrieves	𐑮𐑦𐑑𐑮𐑰𐑝𐑟			
retroactively	𐑮𐑧𐑑𐑮𐑴𐑨𐑒𐑑𐑦𐑝𐑤𐑦			
retrofits	𐑮𐑧𐑑𐑮𐑴𐑓𐑦𐑑𐑕			
retrograded	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑱𐑛𐑩𐑛			
retrogrades	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑱𐑛𐑟			
retrograding	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑱𐑛𐑦𐑙			
retrogress	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑧𐑕			
retrogressed	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑧𐑕𐑑			
retrogresses	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑧𐑕𐑩𐑟			
retrogressing	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑧𐑕𐑦𐑙			
retrogression	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑧𐑖𐑩𐑯			
retrogressions	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑧𐑖𐑩𐑯𐑟			
retrogressive	𐑮𐑧𐑑𐑮𐑴𐑜𐑮𐑧𐑕𐑦𐑝			
retrorocket	𐑮𐑧𐑑𐑮𐑴𐑮𐑪𐑒𐑦𐑑			
retrorockets	𐑮𐑧𐑑𐑮𐑴𐑮𐑪𐑒𐑦𐑑𐑕			
retrospection	𐑮𐑧𐑑𐑮𐑴𐑕𐑐𐑧𐑒𐑖𐑩𐑯			
retrospections	𐑮𐑧𐑑𐑮𐑴𐑕𐑐𐑧𐑒𐑖𐑩𐑯𐑟			
retrospectively	𐑮𐑧𐑑𐑮𐑴𐑕𐑐𐑧𐑒𐑑𐑦𐑝𐑤𐑦			
retrousse	𐑮𐑩𐑑𐑮𐑵𐑕𐑱			
retroversion	𐑮𐑧𐑑𐑮𐑴𐑝𐑻𐑠𐑩𐑯			
retroversions	𐑮𐑧𐑑𐑮𐑴𐑝𐑻𐑠𐑩𐑯𐑟			
rets	𐑮𐑧𐑑𐑕			
retsina	𐑮𐑧𐑑𐑕𐑰𐑯𐑩			
retted	𐑮𐑧𐑑𐑩𐑛			
retting	𐑮𐑧𐑑𐑦𐑙			
returnable	𐑮𐑦𐑑𐑻𐑯𐑩𐑚𐑩𐑤			
reunification	𐑮𐑰𐑿𐑯𐑦𐑓𐑦𐑒𐑱𐑖𐑩𐑯			
reunites	𐑮𐑰𐑿𐑯𐑲𐑑𐑕			
revaluation	𐑮𐑰𐑝𐑨𐑤𐑿𐑱𐑖𐑩𐑯			
revaluations	𐑮𐑰𐑝𐑨𐑤𐑿𐑱𐑖𐑩𐑯𐑟			
revalue	𐑮𐑰𐑝𐑨𐑤𐑿			
revalued	𐑮𐑰𐑝𐑨𐑤𐑿𐑛			
revalues	𐑮𐑰𐑝𐑨𐑤𐑿𐑟			
revaluing	𐑮𐑰𐑝𐑨𐑤𐑿𐑦𐑙			
revamped	𐑮𐑰𐑝𐑨𐑥𐑐𐑑			
revamping	𐑮𐑰𐑝𐑨𐑥𐑐𐑦𐑙			
revamps	𐑮𐑰𐑝𐑨𐑥𐑐𐑕			
revd	𐑮𐑧𐑝𐑛			
reveille	𐑮𐑦𐑝𐑨𐑤𐑦			
reveilles	𐑮𐑦𐑝𐑨𐑤𐑦𐑟			
revelled	𐑮𐑧𐑝𐑩𐑤𐑛			
reveller	𐑮𐑧𐑝𐑩𐑤𐑼			
revellers	𐑮𐑧𐑝𐑩𐑤𐑼𐑟			
revelling	𐑮𐑧𐑝𐑩𐑤𐑦𐑙			
revelries	𐑮𐑧𐑝𐑩𐑤𐑮𐑦𐑟			
revelry	𐑮𐑧𐑝𐑩𐑤𐑮𐑦			
revenged	𐑮𐑦𐑝𐑧𐑯𐑡𐑛			
revengeful	𐑮𐑦𐑝𐑧𐑯𐑡𐑓𐑩𐑤			
revengefully	𐑮𐑦𐑝𐑧𐑯𐑡𐑓𐑩𐑤𐑦			
revenges	𐑮𐑦𐑝𐑧𐑯𐑡𐑩𐑟			
revenging	𐑮𐑦𐑝𐑧𐑯𐑡𐑦𐑙			
reverberant	𐑮𐑦𐑝𐑻𐑚𐑼𐑩𐑯𐑑			
reverberate	𐑮𐑦𐑝𐑻𐑚𐑼𐑱𐑑			
reverberated	𐑮𐑦𐑝𐑻𐑚𐑼𐑱𐑑𐑩𐑛			
reverberates	𐑮𐑦𐑝𐑻𐑚𐑼𐑱𐑑𐑕			
reverberating	𐑮𐑦𐑝𐑻𐑚𐑼𐑱𐑑𐑦𐑙			
reverberation	𐑮𐑦𐑝𐑻𐑚𐑼𐑱𐑖𐑩𐑯			
reverberations	𐑮𐑦𐑝𐑻𐑚𐑼𐑱𐑖𐑩𐑯𐑟			
reverenced	𐑮𐑧𐑝𐑼𐑩𐑯𐑕𐑑			
reverences	𐑮𐑧𐑝𐑼𐑩𐑯𐑕𐑩𐑟			
reverencing	𐑮𐑧𐑝𐑼𐑩𐑯𐑕𐑦𐑙			
reverends	𐑮𐑧𐑝𐑼𐑩𐑯𐑛𐑟			
reverent	𐑮𐑧𐑝𐑼𐑩𐑯𐑑			
reverential	𐑮𐑧𐑝𐑼𐑧𐑯𐑖𐑩𐑤			
reverentially	𐑮𐑧𐑝𐑼𐑧𐑯𐑖𐑩𐑤𐑦			
reveres	𐑮𐑦𐑝𐑽𐑟			
reverie	𐑮𐑧𐑝𐑼𐑦			
reveries	𐑮𐑧𐑝𐑼𐑦𐑟			
revering	𐑮𐑦𐑝𐑽𐑦𐑙			
reversals	𐑮𐑦𐑝𐑻𐑕𐑩𐑤𐑟			
reversely	𐑮𐑦𐑝𐑻𐑕𐑤𐑦			
reverses	𐑮𐑦𐑝𐑻𐑕𐑩𐑟			
reversibility	𐑮𐑦𐑝𐑻𐑕𐑩𐑚𐑦𐑤𐑦𐑑𐑦			
reversion	𐑮𐑦𐑝𐑻𐑠𐑩𐑯			
reversionary	𐑮𐑦𐑝𐑻𐑠𐑩𐑯𐑺𐑦			
reversions	𐑮𐑦𐑝𐑻𐑠𐑩𐑯𐑟			
revertible	𐑮𐑦𐑝𐑻𐑑𐑩𐑚𐑩𐑤			
reverting	𐑮𐑦𐑝𐑻𐑑𐑦𐑙			
revetment	𐑮𐑦𐑝𐑧𐑑𐑥𐑩𐑯𐑑			
revetments	𐑮𐑦𐑝𐑧𐑑𐑥𐑩𐑯𐑑𐑕			
reviewers	𐑮𐑦𐑝𐑿𐑼𐑟			
revile	𐑮𐑦𐑝𐑲𐑤			
reviled	𐑮𐑦𐑝𐑲𐑤𐑛			
reviles	𐑮𐑦𐑝𐑲𐑤𐑟			
reviling	𐑮𐑦𐑝𐑲𐑤𐑦𐑙			
reviser	𐑮𐑦𐑝𐑲𐑟𐑼			
revisers	𐑮𐑦𐑝𐑲𐑟𐑼𐑟			
revises	𐑮𐑦𐑝𐑲𐑟𐑩𐑟			
revision	𐑮𐑦𐑝𐑦𐑠𐑩𐑯			
revisionism	𐑮𐑦𐑝𐑦𐑠𐑩𐑯𐑦𐑟𐑩𐑥			
revisionist	𐑮𐑦𐑝𐑦𐑠𐑩𐑯𐑦𐑕𐑑			
revisionists	𐑮𐑦𐑝𐑦𐑠𐑩𐑯𐑦𐑕𐑑𐑕			
revisits	𐑮𐑰𐑝𐑦𐑟𐑦𐑑𐑕			
revitalisation	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑱𐑖𐑩𐑯			
revitalisations	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑱𐑖𐑩𐑯𐑟			
revitalise	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟			
revitalised	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑛			
revitalises	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑩𐑟			
revitalising	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑦𐑙			
revitalization	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑱𐑖𐑩𐑯			
revitalizations	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑱𐑖𐑩𐑯𐑟			
revitalize	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟			
revitalized	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑛			
revitalizes	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑩𐑟			
revitalizing	𐑮𐑰𐑝𐑲𐑑𐑩𐑤𐑲𐑟𐑦𐑙			
revivalist	𐑮𐑦𐑝𐑲𐑝𐑩𐑤𐑦𐑕𐑑			
revivalists	𐑮𐑦𐑝𐑲𐑝𐑩𐑤𐑦𐑕𐑑𐑕			
revivals	𐑮𐑦𐑝𐑲𐑝𐑩𐑤𐑟			
revives	𐑮𐑦𐑝𐑲𐑝𐑟			
revivified	𐑮𐑰𐑝𐑦𐑝𐑦𐑓𐑲𐑛			
revivifies	𐑮𐑰𐑝𐑦𐑝𐑦𐑓𐑲𐑟			
revivify	𐑮𐑰𐑝𐑦𐑝𐑦𐑓𐑲			
revivifying	𐑮𐑰𐑝𐑦𐑝𐑦𐑓𐑲𐑦𐑙			
revocable	𐑮𐑧𐑝𐑩𐑒𐑩𐑚𐑩𐑤			
revocation	𐑮𐑧𐑝𐑩𐑒𐑱𐑖𐑩𐑯			
revocations	𐑮𐑧𐑝𐑩𐑒𐑱𐑖𐑩𐑯𐑟			
revokes	𐑮𐑦𐑝𐑴𐑒𐑕			
revolted	𐑮𐑦𐑝𐑴𐑤𐑑𐑩𐑛			
revoltingly	𐑮𐑦𐑝𐑴𐑤𐑑𐑦𐑙𐑤𐑦			
revolts	𐑮𐑦𐑝𐑴𐑤𐑑𐑕			
revolutionise	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑲𐑟			
revolutionised	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑲𐑟𐑛			
revolutionises	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑲𐑟𐑩𐑟			
revolutionising	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑲𐑟𐑦𐑙			
revolutionists	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑦𐑕𐑑𐑕			
revolutionized	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑲𐑟𐑛			
revolutionizes	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑲𐑟𐑩𐑟			
revolutionizing	𐑮𐑧𐑝𐑩𐑤𐑵𐑖𐑩𐑯𐑲𐑟𐑦𐑙			
revolvers	𐑮𐑦𐑝𐑪𐑤𐑝𐑼𐑟			
revs	𐑮𐑧𐑝𐑟			
revue	𐑮𐑦𐑝𐑿			
revues	𐑮𐑦𐑝𐑿𐑟			
revving	𐑮𐑧𐑝𐑦𐑙			
rewires	𐑮𐑰𐑢𐑲𐑼𐑟			
rewiring	𐑮𐑰𐑢𐑲𐑼𐑦𐑙			
reword	𐑮𐑰𐑢𐑻𐑛			
reworded	𐑮𐑰𐑢𐑻𐑛𐑩𐑛			
rewording	𐑮𐑰𐑢𐑻𐑛𐑦𐑙			
rewords	𐑮𐑰𐑢𐑻𐑛𐑟			
rework	𐑮𐑰𐑢𐑻𐑒			
reworked	𐑮𐑰𐑢𐑻𐑒𐑑			
reworking	𐑮𐑰𐑢𐑻𐑒𐑦𐑙			
reworks	𐑮𐑰𐑢𐑻𐑒𐑕			
rhapsodies	𐑮𐑨𐑐𐑕𐑩𐑛𐑦𐑟			
rhapsodise	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟			
rhapsodised	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟𐑛			
rhapsodises	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟𐑩𐑟			
rhapsodising	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟𐑦𐑙			
rhapsodize	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟			
rhapsodized	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟𐑛			
rhapsodizes	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟𐑩𐑟			
rhapsodizing	𐑮𐑨𐑐𐑕𐑩𐑛𐑲𐑟𐑦𐑙			
rhapsody	𐑮𐑨𐑐𐑕𐑩𐑛𐑦			
rhea	𐑮𐑾			
rheas	𐑮𐑾𐑟			
rheims	𐑮𐑰𐑥𐑟			
rhenish	𐑮𐑧𐑯𐑦𐑖			
rheostat	𐑮𐑾𐑕𐑑𐑨𐑑			
rheostats	𐑮𐑾𐑕𐑑𐑨𐑑𐑕			
rhesus	𐑮𐑰𐑕𐑩𐑕			
rhesuses	𐑮𐑰𐑕𐑩𐑕𐑩𐑟			
rhetorically	𐑮𐑦𐑑𐑹𐑦𐑒𐑤𐑦			
rhetorician	𐑮𐑧𐑑𐑼𐑦𐑖𐑩𐑯			
rhetoricians	𐑮𐑧𐑑𐑼𐑦𐑖𐑩𐑯𐑟			
rheum	𐑮𐑵𐑥			
rheumatic	𐑮𐑵𐑥𐑨𐑑𐑦𐑒			
rheumatics	𐑮𐑵𐑥𐑨𐑑𐑦𐑒𐑕			
rheumatism	𐑮𐑵𐑥𐑩𐑑𐑦𐑟𐑩𐑥			
rheumatoid	𐑮𐑵𐑥𐑩𐑑𐑶𐑛			
rheydt	𐑮𐑲𐑑			
rhinal	𐑮𐑲𐑯𐑩𐑤			
rhinoceroses	𐑮𐑲𐑯𐑪𐑕𐑼𐑩𐑕𐑩𐑟			
rhinos	𐑮𐑲𐑯𐑴𐑟			
rhizome	𐑮𐑲𐑟𐑴𐑥			
rhizomes	𐑮𐑲𐑟𐑴𐑥𐑟			
rhododendron	𐑮𐑴𐑛𐑩𐑛𐑧𐑯𐑛𐑮𐑩𐑯			
rhododendrons	𐑮𐑴𐑛𐑩𐑛𐑧𐑯𐑛𐑮𐑩𐑯𐑟			
rhomb	𐑮𐑪𐑥𐑚			
rhomboid	𐑮𐑪𐑥𐑚𐑶𐑛			
rhomboids	𐑮𐑪𐑥𐑚𐑶𐑛𐑟			
rhombs	𐑮𐑪𐑥𐑚𐑟			
rhombus	𐑮𐑪𐑥𐑚𐑩𐑕			
rhombuses	𐑮𐑪𐑥𐑚𐑩𐑕𐑩𐑟			
rhondda	𐑮𐑪𐑯𐑛𐑩			
rhosllanerchrugog	𐑮𐑪𐑕𐑤𐑨𐑯𐑼𐑒𐑮𐑵𐑜𐑪𐑜			
rhotic	𐑮𐑴𐑑𐑦𐑒			
rhoticity	𐑮𐑴𐑑𐑦𐑕𐑦𐑑𐑦			
rhyl	𐑮𐑦𐑤			
rhymester	𐑮𐑲𐑥𐑕𐑑𐑼			
rhymesters	𐑮𐑲𐑥𐑕𐑑𐑼𐑟			
rhymney	𐑮𐑦𐑥𐑯𐑦			
rhythmical	𐑮𐑦𐑞𐑥𐑦𐑒𐑩𐑤			
rhythmically	𐑮𐑦𐑞𐑥𐑦𐑒𐑤𐑦			
ribald	𐑮𐑦𐑚𐑩𐑤𐑛			
ribaldry	𐑮𐑦𐑚𐑩𐑤𐑛𐑮𐑦			
ribalds	𐑮𐑦𐑚𐑩𐑤𐑛𐑟			
riband	𐑮𐑦𐑚𐑩𐑯𐑛			
ribands	𐑮𐑦𐑚𐑩𐑯𐑛𐑟			
ribbands	𐑮𐑦𐑚𐑩𐑯𐑛𐑟			
ribbing	𐑮𐑦𐑚𐑦𐑙			
ribcages	𐑮𐑦𐑚𐑒𐑱𐑡𐑩𐑟			
riboflavin	𐑮𐑲𐑚𐑴𐑓𐑤𐑱𐑝𐑦𐑯			
riche	𐑮𐑰𐑖			
richness	𐑮𐑦𐑗𐑯𐑩𐑕			
ricked	𐑮𐑦𐑒𐑑			
ricking	𐑮𐑦𐑒𐑦𐑙			
rickmansworth	𐑮𐑦𐑒𐑥𐑩𐑯𐑟𐑢𐑼𐑔			
rickshaws	𐑮𐑦𐑒𐑖𐑷𐑟			
ricocheted	𐑮𐑦𐑒𐑩𐑖𐑱𐑛			
ricocheting	𐑮𐑦𐑒𐑩𐑖𐑱𐑦𐑙			
ricochets	𐑮𐑦𐑒𐑩𐑖𐑱𐑟			
ricochetted	𐑮𐑦𐑒𐑩𐑖𐑱𐑛			
ricochetting	𐑮𐑦𐑒𐑩𐑖𐑱𐑦𐑙			
rictus	𐑮𐑦𐑒𐑑𐑩𐑕			
riddling	𐑮𐑦𐑛𐑩𐑤𐑦𐑙			
riderless	𐑮𐑲𐑛𐑼𐑤𐑩𐑕			
ridged	𐑮𐑦𐑡𐑛			
